IBOVESPA - 1/1/2007 12:00:00 AM 12/31/2018 12:00:00 AM
Mês;Ano;Valor

1;2007;44.641,60
2;2007;43.892,31
3;2007;45.804,66
4;2007;48.956,39
5;2007;52.268,46
6;2007;54.392,06
7;2007;54.182,50
8;2007;54.637,24
9;2007;60.465,06
10;2007;65.317,70
11;2007;63.006,16
12;2007;63.886,10
1;2008;59.490,40
2;2008;63.489,30
3;2008;60.968,07
4;2008;67.868,46
5;2008;72.592,50
6;2008;65.017,58
7;2008;59.505,17
8;2008;55.680,41
9;2008;49.541,27
10;2008;37.256,84
11;2008;36.595,87
12;2008;37.550,31
1;2009;39.300,79
2;2009;38.183,31
3;2009;40.925,87
4;2009;47.289,53
5;2009;53.197,73
6;2009;51.465,46
7;2009;54.765,72
8;2009;56.488,98
9;2009;61.517,89
10;2009;61.545,50
11;2009;67.044,44
12;2009;68.588,41
1;2010;65.401,77
2;2010;66.503,27
3;2010;70.371,54
4;2010;67.529,73
5;2010;63.046,51
6;2010;60.935,90
7;2010;67.515,40
8;2010;65.145,45
9;2010;69.429,78
10;2010;70.673,30
11;2010;67.705,40
12;2010;69.304,81
1;2011;66.574,88
2;2011;67.383,22
3;2011;68.586,70
4;2011;66.132,86
5;2011;64.620,08
6;2011;62.403,64
7;2011;58.823,45
8;2011;56.495,12
9;2011;52.324,42
10;2011;58.338,39
11;2011;56.874,98
12;2011;56.754,08
1;2012;63.072,31
2;2012;65.811,73
3;2012;64.510,97
4;2012;61.820,26
5;2012;54.490,41
6;2012;54.354,63
7;2012;56.097,05
8;2012;57.061,45
9;2012;59.175,80
10;2012;57.068,18
11;2012;57.474,57
12;2012;60.952,08
1;2013;59.761,49
2;2013;57.424,29
3;2013;56.352,09
4;2013;55.910,37
5;2013;53.506,08
6;2013;47.457,13
7;2013;48.234,49
8;2013;50.011,75
9;2013;52.338,19
10;2013;54.256,20
11;2013;52.482,49
12;2013;51.507,16
1;2014;47.638,99
2;2014;47.094,40
3;2014;50.414,92
4;2014;51.626,69
5;2014;51.239,34
6;2014;53.168,22
7;2014;55.829,41
8;2014;61.288,15
9;2014;54.115,98
10;2014;54.628,60
11;2014;54.724,00
12;2014;50.007,41
1;2015;46.907,68
2;2015;51.583,09
3;2015;51.150,16
4;2015;56.229,38
5;2015;52.760,47
6;2015;53.080,88
7;2015;50.864,77
8;2015;46.625,52
9;2015;45.059,34
10;2015;45.868,81
11;2015;45.120,36
12;2015;43.349,96
1;2016;40.405,99
2;2016;42.793,86
3;2016;50.055,27
4;2016;53.910,50
5;2016;48.471,70
6;2016;51.526,92
7;2016;57.308,20
8;2016;57.901,10
9;2016;58.367,04
10;2016;64.924,51
11;2016;61.906,35
12;2016;60.227,28
1;2017;64.670,78
2;2017;66.662,10
3;2017;64.984,06
4;2017;65.403,24
5;2017;62.711,47
6;2017;62.899,97
7;2017;65.920,36
8;2017;70.835,05
9;2017;74.293,50
10;2017;74.308,49
11;2017;71.970,99
12;2017;76.402,08
1;2018;84.912,70
2;2018;85.353,60
3;2018;85.365,56
4;2018;86.115,50
5;2018;76.753,61
6;2018;72.762,52
7;2018;79.220,44
8;2018;76.677,53
9;2018;79.342,43
10;2018;87.423,55
11;2018;89.504,03
12;2018;87.887,27
