DATAPREG,PREULT
2025-09-01,33.6
2025-09-02,33.86
2025-09-03,33.5
2025-09-04,33.66
2025-09-05,32.9
2025-09-08,33.19
2025-09-09,33.55
2025-09-10,34.41
2025-09-11,34.05
2025-09-12,33.75
2025-09-15,34.24
2025-09-16,34.18
2025-09-17,34.44
2025-09-18,34.18
2025-09-19,33.68
2025-09-22,34.04
2025-09-23,34.94
2025-09-24,35.83
2025-09-25,35.2
2025-09-26,34.98
2025-09-29,34.32
2025-09-30,33.78
2025-10-01,33.74
2025-10-02,33.32
2025-10-03,33.07
2025-10-06,32.88
2025-10-07,32.92
2025-10-08,32.59
2025-10-09,32.15
2025-10-10,31.91
2025-10-13,32.21
2025-10-14,32.19
2025-10-15,31.74
2025-10-16,31.49
2025-10-17,31.64
2025-10-20,31.56
2025-10-21,31.23
2025-10-22,31.75
2025-10-23,31.98
2025-10-24,31.75
2025-10-27,31.97
2025-10-28,32.0
2025-10-29,31.94
2025-10-30,31.66
2025-10-31,31.51
2025-11-03,31.79
2025-11-04,32.09
2025-11-05,32.67
2025-11-06,32.7
2025-11-07,34.28
2025-11-10,34.58
2025-11-11,35.41
2025-11-12,34.35
2025-11-13,34.66
2025-11-14,34.93
2025-11-17,34.95
2025-11-18,34.95
2025-11-19,34.86
2025-11-21,34.56
2025-11-24,34.39
2025-11-25,34.06
2025-11-26,33.95
2025-11-27,34.22
2025-11-28,33.38
2025-12-01,33.59
2025-12-02,33.77
2025-12-03,34.19
2025-12-04,34.38
2025-12-05,32.84
2025-12-08,33.28
2025-12-09,33.49
2025-12-10,33.56
2025-12-11,32.88
2025-12-12,33.28
2025-12-15,33.22
2025-12-16,32.31
2025-12-17,32.53
2025-12-18,32.45
2025-12-19,32.68
2025-12-22,32.84
2025-12-23,32.02
2025-12-26,32.12
2025-12-29,32.33
2025-12-30,32.57
