DATAPREG,PREULT
2025-09-01,24.11
2025-09-02,24.11
2025-09-03,24.29
2025-09-04,24.15
2025-09-05,24.95
2025-09-08,24.55
2025-09-09,24.19
2025-09-10,24.36
2025-09-11,24.46
2025-09-12,24.52
2025-09-15,24.67
2025-09-16,24.51
2025-09-17,24.29
2025-09-18,24.24
2025-09-19,23.76
2025-09-22,23.72
2025-09-23,24.07
2025-09-24,24.01
2025-09-25,24.05
2025-09-26,24.19
2025-09-29,24.65
2025-09-30,24.59
2025-10-01,24.16
2025-10-02,23.83
2025-10-03,23.95
2025-10-06,23.5
2025-10-07,23.05
2025-10-08,23.56
2025-10-09,23.64
2025-10-10,23.48
2025-10-13,23.64
2025-10-14,23.52
2025-10-15,23.85
2025-10-16,23.34
2025-10-17,23.49
2025-10-20,23.58
2025-10-21,23.23
2025-10-22,23.32
2025-10-23,23.89
2025-10-24,24.1
2025-10-27,24.12
2025-10-28,23.86
2025-10-29,23.48
2025-10-30,23.95
2025-10-31,23.8
2025-11-03,23.68
2025-11-04,23.59
2025-11-05,24.32
2025-11-06,24.7
2025-11-07,24.81
2025-11-10,25.27
2025-11-11,25.59
2025-11-12,25.6
2025-11-13,25.45
2025-11-14,25.74
2025-11-17,25.9
2025-11-18,26.43
2025-11-19,25.88
2025-11-21,25.9
2025-11-24,26.2
2025-11-25,26.69
2025-11-26,24.07
2025-11-27,24.56
2025-11-28,24.88
2025-12-01,24.89
2025-12-02,25.38
2025-12-03,25.51
2025-12-04,25.89
2025-12-05,24.62
2025-12-08,25.0
2025-12-09,24.59
2025-12-10,24.88
2025-12-11,25.06
2025-12-12,25.51
2025-12-15,25.81
2025-12-16,25.16
2025-12-17,24.59
2025-12-18,24.62
2025-12-19,24.83
2025-12-22,24.84
2025-12-23,25.24
2025-12-26,25.25
2025-12-29,25.19
2025-12-30,25.33
